country_code,year,share_of_instudents,gdp,share_education_spending_gdp,mean_income,urban_rate,population_density,gdp_log,population_density_log,share_of_instudents_original,share_education_spending_gdp_original,mean_income_original,urban_rate_original
BEL,2010,8.11257,625243589629,6.44259,19846.34,0.9211059622446207,361.18295,11.796049247779447,2.5589280017615716,8.11257,6.44259,19846.34,0.9765100289236394
BEL,2011,8.18868,637318012338,6.43199,19386.05,0.9211059622446207,364.55176,11.804356192995616,2.562948879216874,8.18868,6.43199,19386.05,0.9769799852585516
BEL,2012,8.98324,638693368019,6.255765,20146.1,0.9211059622446207,366.8271,11.805292406611606,2.5656437231263354,8.98324,6.255765,20146.1,0.9774400347458686
BEL,2013,9.97936,640644540993,6.63053,19997.73,0.9211059622446207,368.56924,11.806617129824918,2.567695816838675,9.97936,6.63053,19997.73,0.9778900437989223
BEL,2014,11.19477,651955379070,6.59047,20023.5,0.9211059622446207,370.21503,11.814217872900048,2.569625551905438,11.19477,6.59047,20023.5,0.9783300236585468
BEL,2015,11.18446,661566273080,6.45157,20372.75,0.9211059622446207,372.36896,11.820573356598643,2.5721382100751566,11.18446,6.45157,20372.75,0.9787599931737926
BEL,2016,12.02156,669462084014,6.46173,20134.07,0.9211059622446207,374.26367,11.825725985127923,2.5743365215613685,12.02156,6.46173,20134.07,0.9791899904530958
BEL,2017,8.53861,679333085916,6.42534,20340.42,0.9211059622446207,375.71277,11.832082766778663,2.576010342386791,8.53861,6.42534,20340.42,0.979610041460523
BEL,2018,10.45448,692090747770,6.38107,21039.68,0.9211059622446207,377.43094,11.840163043405099,2.5779866365087107,10.45448,6.38107,21039.68,0.980009983325536
BEL,2019,10.04272,708997763898,6.33397,21679.46,0.9211059622446207,379.47894,11.850644865468176,2.58033062301221,10.04272,6.33397,21679.46,0.9804100102881196
BEL,2020,10.52473,675015615243,6.80186,21852.03,0.9211059622446207,381.11304,11.829313819550821,2.5821918586866075,10.52473,6.80186,21852.03,0.9807899638465797
BRA,2011,0.255282,3637727009587,5.73741,5638.45,0.8463099988143467,23.364616,12.56083010465655,1.386759571046875,0.20827,5.73741,5638.45,0.8463099988143467
BRA,2012,0.255282,3707614147323,5.8551,6045.52,0.849230001297618,23.555016,12.569094530648448,1.3901402214531429,0.21019,5.8551,6045.52,0.849230001297618
BRA,2014,0.255282,3838267555171,5.94848,6459.73,0.8549200011253211,23.938953,12.584135244939525,1.3968782167500908,0.23653,5.94848,6459.73,0.8549200011253211
BRA,2015,0.255282,3702171669286,6.24106,6113.08,0.8577000010095424,24.129236,12.568456553070444,1.4001792850100863,0.23964,6.24106,6113.08,0.8577000010095424
BRA,2016,0.255282,3580891601615,6.31404,5732.48,0.8604200017327196,24.313795,12.553991174535346,1.4033572587105634,0.24036,6.31404,5732.48,0.8604200017327196
BRA,2017,0.255282,3628262108472,6.32048,5978.47,0.8630899983143908,24.491507,12.55969865329206,1.4063955107316493,0.24116,6.32048,5978.47,0.8630899983143908
BRA,2018,0.255282,3692978213726,6.08851,5956.86,0.865690001091228,24.659466,12.567376745591393,1.4092476140160533,0.24229,6.08851,5956.86,0.865690001091228
BRA,2019,0.255282,3738061272790,5.96347,6057.29,0.8682400013392755,24.820768,12.572646415880943,1.4119691555602139,0.24504,5.96347,6057.29,0.8682400013392755
BRA,2020,0.255282,3615574021216,5.7715,6122.91,0.8707300002172904,24.964985,12.558177257220198,1.4143880760387542,0.24886,5.7715,6122.91,0.8707300002172904
CAN,2010,7.43157,1760270486764,5.35637,21975.8,0.8093700028894985,3.891008,12.245579407520738,0.689398373177654,7.43157,5.35637,21975.8,0.8093700028894985
CAN,2011,8.16061,1815493593719,5.26205,22099.67,0.8109600098383128,3.9318044,12.258994720769174,0.6930058437377254,8.16061,5.26205,22099.67,0.8109600098383128
CAN,2012,8.98,1847367512609,4.6925874,22329.81,0.8113699913246746,3.9735696,12.266553301948816,0.6966681998256377,8.98,4.6925874,22329.81,0.8113699913246746
CAN,2013,9.72349,1890333836978,4.58901,22764.74,0.8117800089575574,4.0157723,12.276538508276355,0.7003378126914571,9.72349,4.58901,22764.74,0.8117800089575574
CAN,2014,10.41181,1944651951661,4.84359,22866.23,0.8121800077925011,4.054555,12.28884188381159,0.7036829265835004,10.41181,4.84359,22866.23,0.8121800077925011
CAN,2015,10.97118,1957291625275,4.73938,23046.32,0.8125899991648111,4.091872,12.291655537876972,0.7068774777796564,10.97118,4.73938,23046.32,0.8125899991648111
CAN,2016,11.89155,1977619095748,4.81642,22827.02,0.8130000044584996,4.1363735,12.296142646945524,0.7106565966595505,11.89155,4.81642,22827.02,0.8130000044584996
CAN,2017,12.91719,2037616794116,4.95997,23673.96,0.8135000133396908,4.188162,12.309122511442348,0.7150135284389567,12.91719,4.95997,23673.96,0.8135000133396908
CAN,2018,13.838,2093507877645,4.88898,23752.72,0.8141100089500014,4.243517,12.320874599433962,0.7196226803682474,13.838,4.88898,23752.72,0.8141100089500014
CAN,2019,16.22091,2133461050343,4.77293,23764.18,0.8148199974507221,4.299035,12.329084718545186,0.7241967880285148,16.22091,4.77293,23764.18,0.8148199974507221
CAN,2020,18.20879,2025972302247,4.88795,25132.14,0.8156200072166666,4.343293,12.30663350367822,0.7278089894167256,18.20879,4.88795,25132.14,0.8156200072166666
CHL,2011,0.27687,440306288491,4.06173,5745.5,0.8713199817241031,23.337006,11.643754888134685,1.3862671491751775,0.27687,4.06173,5745.5,0.8713199817241031
CHL,2013,0.25562,482872890996,4.54814,6882.31,0.8724599855962055,23.78782,11.683832824325819,1.3942383338028561,0.25562,4.54814,6882.31,0.8724599855962055
CHL,2015,0.31184,502106533131,4.9039,7336.45,0.8735999889182094,24.272833,11.700795872210273,1.4026539276067072,0.31184,4.9039,7336.45,0.8735999889182094
CHL,2017,0.37999,517845238398,5.43279,7963.65,0.8749000208417884,24.960411,11.714199987251556,1.4143115638455546,0.37999,5.43279,7963.65,0.8749000208417884
CHN,2013,0.2828,17490873558596,4.129804,4673.43,0.5380474794531794,146.88722,13.242811500285097,2.169930645103777,0.2828,4.129804,4673.43,0.5301299998532907
CHN,2018,0.39673,24534506282427,4.024424,6541.26,0.591519999857424,151.14798,13.389777322925267,2.182266190800811,0.39673,4.024424,6541.26,0.591519999857424
CIV,2015,1.79823,129030580269,3.49413,3474.1730000000002,0.5380474794531794,79.39102,11.110692650366,1.9052075390188463,1.79823,3.49413,1939.87,0.49443998659290916
CZE,2010,8.00084,428369120729,4.0335,11784.09,0.7325499956560799,135.56763,11.631818156884576,2.135347772710722,8.00084,4.0335,11784.09,0.7325499956560799
CZE,2013,9.3903,432420755596,4.04676,11752.21,0.7329000048695715,136.1782,11.635906531314832,2.137285099913369,9.3903,4.04676,11752.21,0.7329000048695715
CZE,2016,11.51021,476030276387,5.55373,13059.48,0.7356999571847639,136.44746,11.67763457551479,2.138136718583441,11.51021,5.55373,13059.48,0.7356999571847639
DNK,2010,7.53775,334155612676,7.448553500000001,21632.05,0.8679499171095393,138.69666,11.523948760190157,2.1451860227146837,7.53775,8.55955,21632.05,0.8679499171095393
DNK,2013,10.12547,343231788015,7.448553500000001,21176.34,0.8729199213810603,140.38335,11.535587502721645,2.1503982678138773,10.12547,8.49443,21176.34,0.8729199213810603
DNK,2015,10.28315,354933619552,7.0104146,21253.69,0.8752599418349628,142.09245,11.55014713796363,2.1556167196448923,10.28315,7.0104146,21253.69,0.8752599418349628
DNK,2016,10.81055,365840891086,7.448553500000001,21541.56,0.8764200830654975,143.20496,11.563292246194885,2.1589801984110397,10.81055,7.69106,21541.56,0.8764200830654975
DNK,2017,10.75681,377022734671,7.11586,21893.68,0.8775699135122759,144.1292,11.57636753918431,2.1617548012939527,10.75681,7.11586,21893.68,0.8775699135122759
DNK,2018,10.70688,384035385770,7.29691,22428.77,0.8787400520156945,144.84563,11.584371242953598,2.1638934208055836,10.70688,7.29691,22428.77,0.8787400520156945
DNK,2019,10.49075,390607770987,7.25505,22770.49,0.8799399149218959,145.36548,11.591740879155717,2.1654386613311543,10.49075,7.25505,22770.49,0.8799399149218959
DNK,2020,10.23236,383654538666,7.38354,23632.64,0.8811600088074845,145.78825,11.583940340309132,2.1666912928798068,10.23236,7.38354,23632.64,0.8811600088074845
EST,2010,1.783,41191251788,5.51779,8659.1,0.68094031055784,31.14503,10.614804990227709,1.5071138354118163,1.783,5.51779,8659.1,0.68094031055784
EST,2013,2.89479,46759420782,4.84388,10208.02,0.6812200634751066,30.828562,10.669869122842563,1.5028170178364468,2.89479,4.84388,10208.02,0.6812200634751066
EST,2016,6.80341,50723009484,5.15764,12748.02,0.6856299257480297,30.780117,10.705205013090449,1.5021554917499274,6.80341,5.15764,12748.02,0.6856299257480297
FIN,2010,4.64398,292410409719,6.50445,20144.31,0.8377000055189366,17.645626,11.465992829310043,1.270576968752935,4.64398,6.50445,20144.31,0.8377000055189366
FIN,2013,7.0739,291952110137,7.12404,20226.1,0.8512500156279532,17.894718,11.46531161854253,1.2763404145405264,7.0739,7.12404,20226.1,0.8512500156279532
FIN,2016,7.80615,299419615744,6.85153,20579.24,0.8527500667388132,18.080313,11.476280248681565,1.2805854947421786,7.80615,6.85153,20579.24,0.8527500667388132
FRA,2010,11.5779,3278943802224,5.6427917,19810.18,0.7836899954081593,115.81875,12.515733973365698,2.067512554831198,11.5779,5.6427917,19810.18,0.7836899954081593
FRA,2011,11.87069,3358870568050,5.4801154,19878.43,0.7862199944506367,116.39661,12.526193268901427,2.069655556199924,11.87069,5.4801154,19878.43,0.7862199944506367
FRA,2012,11.81894,3365045356862,5.488356,19673.85,0.7887799959483782,116.989586,12.526990922379479,2.0718436772864486,11.81894,5.488356,19673.85,0.7887799959483782
FRA,2013,9.77869,3391351815847,5.4928937,19578.36,0.7913499926027985,117.59093,12.53037284544188,2.074051474849668,9.77869,5.4928937,19578.36,0.7913499926027985
FRA,2014,9.84239,3425191841309,5.4892044,19510.47,0.7939399928522813,118.14751,12.534684900876352,2.076084970689528,9.84239,5.4892044,19510.47,0.7939399928522813
FRA,2015,9.87597,3461730237456,5.4464273,19710.16,0.7965499990743561,118.556305,12.53929322155539,2.0775724842954126,9.87597,5.4464273,19710.16,0.7965499990743561
FRA,2016,9.89236,3491502193473,5.408058,19802.96,0.7991699970973009,118.86772,12.543012319214887,2.078702244705636,9.89236,5.408058,19802.96,0.7991699970973009
FRA,2017,10.20123,3564251651686,5.4516,19931.42,0.8017999934845651,119.22919,12.551968359528901,2.0800099212182555,10.20123,5.4516,19931.42,0.8017999934845651
FRA,2018,8.76849,3622915980757,5.40717,20010.16,0.8044399930742787,119.657936,12.559058262404319,2.081555891911287,8.76849,5.40717,20010.16,0.8044399930742787
FRA,2019,9.1747,3696368663151,5.35443,20274.19,0.8070900057509371,120.04131,12.567775279752615,2.0829336153017515,9.1747,5.35443,20274.19,0.8070900057509371
FRA,2020,9.1854,3421334958642,5.65981,20491.84,0.8097500026256965,120.3624,12.534195594959423,2.0840841562464596,9.1854,5.65981,20491.84,0.8097500026256965
GEO,2010,0.78716,42768329074,3.1643973,3474.1730000000002,0.5553499819763672,56.064655,10.631122283044215,1.7563671959637883,0.78716,2.803648,2278.49,0.5553499819763672
GEO,2011,1.54581,46161712229,3.1643973,3474.1730000000002,0.5591899353670137,55.673088,10.664281909295196,1.7533768770992784,1.54581,2.51492,2374.67,0.5591899353670137
GEO,2012,1.68049,49198613272,3.1643973,3474.1730000000002,0.5630300192497789,55.248352,10.6919528617842,1.7501098027337851,1.68049,1.86034,2636.59,0.5630300192497789
GEO,2013,3.03337,51723921667,3.4732218,3474.1730000000002,0.5668499715412996,54.815483,10.71369144533064,1.7467546872663609,3.03337,3.4732218,3051.93,0.5668499715412996
GEO,2015,3.74511,55643864277,3.164874,3474.1730000000002,0.5744801190569504,54.562828,10.74541728264885,1.7447843420608735,3.74511,3.164874,3360.99,0.5744801190569504
GEO,2016,4.93164,57563697329,3.52338,3480.13,0.5783699820657517,54.56988,10.76014868099854,1.7448394589521221,4.93164,3.52338,3480.13,0.5783699820657517
GEO,2017,5.53843,60533928053,3.52442,3474.1730000000002,0.5823099975214618,54.581394,10.781998856249022,1.744929434829187,5.53843,3.52442,3357.43,0.5823099975214618
GEO,2018,6.74764,64203516814,3.46095,3474.1730000000002,0.586319943733465,54.610462,10.807558817656345,1.7451565031189284,6.74764,3.46095,3274.92,0.586319943733465
GEO,2019,8.1117,67658127813,3.82986,3487,0.590390039570868,54.63694,10.83031997614043,1.7453632360277829,8.1117,3.82986,3487,0.590390039570868
GEO,2020,8.72306,63402112372,3.8498592,3474.1730000000002,0.5945299077340307,54.62196,10.802103727545061,1.7452462884149946,8.72306,3.8498592,3312.15,0.5945299077340307
DEU,2013,7.07259,4726965694896,4.93539,21108.13,0.7718000007563959,231.95163,12.674582450500292,2.3672657536231703,7.07259,4.93539,21108.13,0.7718000007563959
